Reference,Qty,Value,DNP,Footprint,Datasheet,MPN
F1,1,C308F-V-250MA-TR1,,Kicad_Libraries:C308F-V-250MA-TR1,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-c308f-ceramic-tube-fuses-hazardous-data-sheet.pdf,C308F-V-250MA-TR1
J1,1,Conn_01x02,,Connector_Molex:Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,https://www.molex.com/en-us/products/part-detail-pdf/530470210?display=pdf,53047-0210
